"source_row","book_id","author_surname","gender","book_title","genre","binding","notes","retail_price","royalty_rate","contract_terms","publisher","publication_year","author_id","raw_royalty_rate","raw_retail_price","raw_unlabeled","raw_publisher"
142,"CL1907A","Laughlin","Female","Felicity: The Making of a Comedienne","Novel","Cloth","1907",1.5,,,"Scribner's",1907,"CL","","1.50","","Scribner"
143,"CL1907B","Laughlin","Female","Felicity: The Making of a Comedienne","Novel","Paper","1909",,,"cheap edn","Scribner's",1907,"CL","","","","Scribner"
145,"JL1917A","Lee","Female","The Green Jacket","Novel","Cloth","1917",1.35,,,"Scribner's",1917,"JL","","1.35","","Scribner"
146,"JL1919A","Lee","Female","The Raincoat Girl","Novel","Cloth","1919",1.6,,,"Scribner's",1919,"JL","","1.60","","Scribner"
148,"NL1905A","Lloyd","Male","Mrs. Radigan","Novel","Cloth","1905",1,,,"Scribner's",1905,"NL","","1.00","","Scribner"
149,"NL1913A","Lloyd","Male","David Malcolm","Novel","Cloth","1913",1.35,,,"Scribner's",1913,"NL","","1.35","","Scribner"
150,"NL1904A","Lloyd","Male","Pastime of Eternity","Novel","Cloth","1904",1.5,,,"Scribner's",1904,"NL","","1.50","","Scribner"
152,"CHL1891A","Lummis","Male","A New Mexico David","Short Story Collection/Novella","Cloth","1891",1.25,0.1,"10% after 500","Scribner's",1891,"CHL",".10","1.25","","Scribner"
153,"CHL1897A","Lummis","Male","The King of the Broncos","Short Story Collection/Novella","Cloth","1897",1.25,,,"Scribner's",1897,"CHL","","1.25","","Scribner"
156,"FL1897A","Lynde","Male","A Romance in Transit","Novel","Cloth","1897",0.75,0.1,"10% after 750 copies","Scribner's",1897,"FL",".10",".75","","Scribner"
159,"JM1906A","Magruder","Female","Across the Chasm","Novel","Paper","1906",0.5,0.1,"first published anonymously in 1885","Scribner's",1906,"JM",".10",".50","","Scribner"
160,"JM1885A","Magruder","Female","Across the Chasm","Novel","Cloth","1885",1,0.1,,"Scribner's",1885,"JM",".10","1.00","","Scribner"
162,"JAM1897A","Mitchell","Male","Gloria Victis","Novel","Cloth","1897",1.25,0.15,"15%","Scribner's",1897,"JAM",".15","1.25","","Scribner"
163,"JAM1895A","Mitchell","Male","Amos Judd","Novel","Cloth","1895",0.75,0.15,"15%","Scribner's",1895,"JAM",".15",".75","","Scribner"
164,"JAM1896A","Mitchell","Male","That First Affair","Short Story Collection/Novella","Cloth","1896",1.25,0.15,"15%","Scribner's",1896,"JAM",".15","1.25","","Scribner"
167,"KM1898A","Munroe","Male","In Pirate Waters","Novel","Cloth","1898",1.25,0.1,"10%","Scribner's",1898,"KM",".10","1.25","","Scribner"
168,"KM1900A","Munroe","Male","Brethren of the Coast","Novel","Cloth","1900",1.25,,"15%","Scribner's",1900,"KM","","1.25","","Scribner"
169,"KM1899A","Munroe","Male","Midshipman Stuart","Novel","Cloth","1899",1.25,,"15%500 advance royalty","Scribner's",1899,"KM","","1.25","","Scribner"
173,"TNP1887A","Page","Male","In Ole Virginia","Short Story Collection/Novella","Cloth","1887",1.25,0.15,"15%","Scribner's",1887,"TNP",".15","1.25","","Scribner"
174,"TNP1890A","Page","Male","In Ole Virginia[Cameo Edn]","Short Story Collection/Novella","Cloth","1890",1.25,0.15,"15%","Scribner's",1890,"TNP",".15","1.25","","Scribner"
175,"TNP1896A","Page","Male","In Ole Virginia","Short Story Collection/Novella","Cloth","1896; Unlabeled: illustrated edn",2.5,0.15,,"Scribner's",1896,"TNP",".15","2.50","illustrated edn","Scribner"
176,"TNP1883A","Page","Male","Two Little Confederates","Children's Literature/Juvenile","Cloth","1888",1.5,0.15,"15%","Scribner's",1883,"TNP",".15","1.50","","Scribner"
177,"TNP1892A","Page","Male","Marse Chan","Novel","Cloth","1892",1.5,,"first published 1884","Scribner's",1892,"TNP","","1.50","","Scribner"
178,"TNP1897A","Page","Male","Marse Chan [new edition]","Novel","Cloth","1897",1,0.15,"15%","Scribner's",1897,"TNP",".15","1.00","","Scribner"
179,"TNP1893A","Page","Male","Meh Lady","Short Story Collection/Novella","Cloth","1893",,,,"Scribner's",1893,"TNP","","","","Scribner"
180,"TNP1897B","Page","Male","Meh Lady[new edition]","Short Story Collection/Novella","Cloth","1897",1,0.15,"15%","Scribner's",1897,"TNP",".15","1.00","","Scribner"
181,"TNP1891A","Page","Male","Elsket & Other Stories","Short Story Collection/Novella","Cloth","1891",1,,,"Scribner's",1891,"TNP","","1.00","","Scribner"
182,"TNP1894A","Page","Male","Polly","Short Story Collection/Novella","Cloth","1894",,,,"Scribner's",1894,"TNP","","","","Scribner"
183,"TNP1894B","Page","Male","Burial of the Guns","Short Story Collection/Novella","Cloth","1894",1.25,,,"Scribner's",1894,"TNP","","1.25","","Scribner"
184,"TNP1898A","Page","Male","Red Rock","Novel","Cloth","1898",1.5,0.15,"15%","Scribner's",1898,"TNP",".15","1.50","","Scribner"
185,"TNP1904A","Page","Male","Red Rock [new edition]","Novel","Cloth","1904",,,,"Scribner's",1904,"TNP","","","","Scribner"
186,"TNP1909A","Page","Male","John Marvel","Novel","Cloth","1909; Unlabeled: price later increased to $2",1.5,,,"Scribner's",1909,"TNP","","1.50","price later increased to $2","Scribner"
187,"TNP1903A","Page","Male","Gordon Keith","Novel","Cloth","1903",1.5,,,"Scribner's",1903,"TNP","","1.50","","Scribner"
188,"TNP1905A","Page","Male","Gordon Keith [special edition]","Novel","Cloth","1905",,,,"Scribner's",1905,"TNP","","","","Scribner"
189,"TNP1904B","Page","Male","Bred in the Bone","Novel","Cloth","1904; Retail Price: 1.50 / 1.75",,,,"Scribner's",1904,"TNP","","1.50 / 1.75","","Scribner"
192,"FP1903A","Palmer","Male","The Vagabond","Novel","Cloth","1903",,,,"Scribner's",1903,"FP","","","","Scribner"
193,"FP1912A","Palmer","Male","Over the Pass","Novel","Cloth","1912",,,,"Scribner's",1912,"FP","","","","Scribner"
194,"FP1914A","Palmer","Male","Last Shot","Novel","Cloth","1914",,,,"Scribner's",1914,"FP","","","","Scribner"
195,"FP1906A","Palmer","Male","Lucy of the Stars","Novel","Cloth","1906",,,,"Scribner's",1906,"FP","","","","Scribner"
198,"FRP1908A","Powell","Female","Old Mr. Davenant’s Money","Novel","Cloth","1908",,,,"Scribner's",1908,"FRP","","","","Scribner"
199,"FRP1902A","Powell","Female","The House on the Hudson","Novel","Cloth","1902",,,,"Scribner's",1902,"FRP","","","","Scribner"
201,"EMR1910A","Royle","Male","The Silent Call","Novel","Cloth","1910",,,,"Scribner's",1910,"EMR","","","","Scribner"
204,"MES1896A","Seawell","Female","Romance of Marsac","Novel","Cloth","1896",1.25,,,"Scribner's",1896,"MES","","1.25","","Scribner"
205,"MES1900A","Seawell","Female","House of Egremont","Novel","Cloth","1900",1.5,,"15% to 3000; 20% thereafter2000 advance royalty","Scribner's",1900,"MES","SS","1.50","","Scribner"
206,"MES1901A","Seawell","Female","Papa Bouchard","Novel","Cloth","1901",1.25,0.2,"20%1500 advance royalty","Scribner's",1901,"MES",".20","1.25","","Scribner"
207,"MES1897A","Seawell","Female","The History of the Lady Betty Stair","Novel","Cloth","1897",1.25,0.15,"15%[100 bonus]","Scribner's",1897,"MES",".15","1.25","","Scribner"
210,"FS1887A","Stockton","Male","The Bee Man of Orn","Short Story Collection/Novella","Cloth",,1.25,0.15,"15%","Scribner's",1887,"FS",".15","1.25","","Scribner"
211,"FS1890A","Stockton","Male","Ardis Claverden","Novel","Cloth",,1.5,0.15,,"Scribner's",1890,"FS",".15","1.50","","Scribner"
212,"FS1886A","Stockton","Male","The Late Mrs. Null","Novel","Cloth",,1.5,0.15,"15%","Scribner's",1886,"FS",".15","1.50","","Scribner"
213,"FS1887B","Stockton","Male","The Late Mrs. Null","Novel","Cloth","Unlabeled: new uniform edn",1.25,0.15,,"Scribner's",1887,"FS",".15","1.25","new uniform edn","Scribner"
214,"FS1882A","Stockton","Male","The Lady or the Tiger","Short Story Collection/Novella","Cloth",,1,0.15,,"Scribner's",1882,"FS",".15","1.00","","Scribner"
215,"FS1887C","Stockton","Male","The Lady or the Tiger","Short Story Collection/Novella","Cloth","Unlabeled: new uniform edn",1.25,0.15,,"Scribner's",1887,"FS",".15","1.25","new uniform edn","Scribner"
216,"FS1886B","Stockton","Male","The Christmas Wreck","Short Story Collection/Novella","Cloth",,1,0.15,,"Scribner's",1886,"FS",".15","1.00","","Scribner"
217,"FS1887D","Stockton","Male","The Christmas Wreck","Short Story Collection/Novella","Cloth","Unlabeled: new uniform edn",1.25,0.15,,"Scribner's",1887,"FS",".15","1.25","new uniform edn","Scribner"
218,"FS1888A","Stockton","Male","Amos Kilbright","Short Story Collection/Novella","Cloth",,1.25,0.15,,"Scribner's",1888,"FS",".15","1.25","","Scribner"
219,"FS1889A","Stockton","Male","Personally Conducted","Travel","Cloth",,2,0.15,,"Scribner's",1889,"FS",".15","2.00","","Scribner"
220,"FS1891A","Stockton","Male","The Rudder Grangers Abroad","Short Story Collection/Novella","Cloth",,1.25,0.15,,"Scribner's",1891,"FS",".15","1.25","","Scribner"
221,"FS1893A","Stockton","Male","The Watchmaker’s Wife","Short Story Collection/Novella","Cloth",,1.25,0.15,,"Scribner's",1893,"FS",".15","1.25","","Scribner"
222,"FS1879A","Stockton","Male","Rudder Grange","Novel","Cloth",,1.25,0.15,"10%","Scribner's",1879,"FS",".15","1.25","","Scribner"
223,"FS1894A","Stockton","Male","Pomona’s Travels",,"Cloth",,2,0.15,,"Scribner's",1894,"FS",".15","2.00","","Scribner"
224,"FS1897A","Stockton","Male","Pomona’s Travels","Novel","Paper",,1,0.15,,"Scribner's",1897,"FS",".15","1.00","","Scribner"
225,"FS1895A","Stockton","Male","Adventures of Captain Horn",,"Cloth","1895",1.5,0.15,"15%","Scribner's",1895,"FS",".15","1.50","","Scribner"
226,"FS1896A","Stockton","Male","Mrs. Cliff’s Yacht",,"Cloth",,1.5,0.15,,"Scribner's",1896,"FS",".15","1.50","","Scribner"
228,"OT1898A","Thanet","Female","Heart of Toil","Novel","Cloth","1898",1.5,,"pseud. of Alice French","Scribner's",1898,"OT","","1.50","","Scribner"
231,"EW1901A","Wharton","Female","Crucial Instances","Short Story Collection/Novella","Cloth","1901",1.5,0.15,"15%","Scribner's",1901,"EW",".15","1.50","","Scribner"
232,"EW1899A","Wharton","Female","The Greater Inclination","Short Story Collection/Novella","Cloth","1899",1.5,0.1,"10%","Scribner's",1899,"EW",".10","1.50","","Scribner"
233,"EW1900A","Wharton","Female","The Touchstone","Novel","Cloth","1900",1.25,0.15,"15%","Scribner's",1900,"EW",".15","1.25","","Scribner"
234,"EW1902A","Wharton","Female","The Valley of Decision","Novel","Cloth","1902; Unlabeled: [2 vols]",2,0.15,"15%2000 advance royalty","Scribner's",1902,"EW",".15","2.00","[2 vols]","Scribner"
235,"EW1902B","Wharton",,"The Valley of Decision","Novel","Paper","1902; Unlabeled: [1 vol]",1.5,0.15,"15%","Scribner's",1902,"EW",".15","1.50","[1 vol]","Scribner"
236,"EW1905A","Wharton","Female","The House of Mirth","Novel","Cloth",,,,,"Scribner's",1905,"EW","","","","Scribner"
237,"EW1909A","Wharton","Female","Artemis to Acteon","Poetry","Cloth",,,,,"Scribner's",1909,"EW","","","","Scribner"
238,"EW1913A","Wharton","Female","The Custom of the Country","Novel","Cloth",,,,,"Scribner's",1913,"EW","","","","Scribner"
